#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
504422	20185	21372	203042	203977	RP23-330N10.2	RP23-238B14.2	Ncor1	Tbl1x	5730405M06Rik|A230020K14Rik|N-CoR|RIP13|Rxrip13|mKIAA1047	5330429M20|Tbl1	Affinity Capture-Western	physical	Ishizuka T (2005)	PUBMED:15695367	10090	10090	Low Throughput	-	-	-	-	BIOGRID	-	Q8BK32|Q5PRE9|Q8CHB6|Q5RIM6	NP_796203|NP_001239242|NP_035438	Q9QXE7	-	NP_065626	-	-	-	-	-	-	Mus musculus	Mus musculus
853541	21372	12023	203977	198303	RP23-238B14.2	-	Tbl1x	Barx2	5330429M20|Tbl1	2310006E12Rik|Barx2b	Affinity Capture-Western	physical	Olson LE (2005)	PUBMED:15728386	10090	10090	Low Throughput	-	-	-	-	BIOGRID	Q9QXE7	-	NP_065626	O08686	-	NP_038828	-	-	-	-	-	-	Mus musculus	Mus musculus
885929	71950	21372	215050	203977	-	RP23-238B14.2	Nanog	Tbl1x	2410002E02Rik|ENK|ecat4	5330429M20|Tbl1	Affinity Capture-MS	physical	Gagliardi A (2013)	PUBMED:23892456	10090	10090	High Throughput	606	-	used nuclear extracts, Flag-tagged interactor A	-	BIOGRID	Q80Z64	B7ZN41|A2RS90	NP_001276760|NP_001276757|NP_001276759|NP_082292	Q9QXE7	-	NP_065626	-	-	-	-	-	-	Mus musculus	Mus musculus
1515488	27221	21372	205142	203977	-	RP23-238B14.2	Chaf1a	Tbl1x	AL023013|AL024058|CAF-1|Cac1p	5330429M20|Tbl1	Affinity Capture-MS	physical	Yang BX (2015)	PUBMED:26365490	10090	10090	High Throughput	-	-	Figure 7	-	BIOGRID	Q9QWF0	-	NP_038761	Q9QXE7	-	NP_065626	-	-	-	-	-	-	Mus musculus	Mus musculus
2206690	20185	21372	203042	203977	RP23-330N10.2	RP23-238B14.2	Ncor1	Tbl1x	5730405M06Rik|A230020K14Rik|N-CoR|RIP13|Rxrip13|mKIAA1047	5330429M20|Tbl1	Affinity Capture-Western	physical	Jeon BN (2016)	PUBMED:27646874	10090	10090	Low Throughput	-	-	-	-	BIOGRID	-	Q8BK32|Q5PRE9|Q8CHB6|Q5RIM6	NP_796203|NP_001239242|NP_035438	Q9QXE7	-	NP_065626	-	-	-	-	-	-	Mus musculus	Mus musculus
2338492	14265	21372	199716	203977	-	RP23-238B14.2	Fmr1	Tbl1x	FMRP|Fmr-1	5330429M20|Tbl1	Affinity Capture-MS	physical	Li J (2017)	PUBMED:28671696	10090	10090	High Throughput	-	-	Adult non-postsynaptic density (PSD)|e14	-	BIOGRID	-	Q8BPK8|Q6AXB7|E9QAT0|Q547R0|E9QNF5	NP_001277353|NP_032057	Q9QXE7	-	NP_065626	-	-	-	-	-	-	Mus musculus	Mus musculus
2474415	4204	21372	110368	203977	-	RP23-238B14.2	MECP2	Tbl1x	AUTSX3|MRX16|MRX79|MRXS13|MRXSL|PPMX|RS|RTS|RTT	5330429M20|Tbl1	Reconstituted Complex	physical	Kruusvee V (2017)	PUBMED:28348241	9606	10090	Low Throughput	-	-	-	-	BIOGRID	P51608	Q59FJ6|D3YJ43	NP_001303266|NP_001104262|NP_004983	Q9QXE7	-	NP_065626	-	-	-	-	-	-	Homo sapiens	Mus musculus
2679602	21372	54006	203977	207558	RP23-238B14.2	-	Tbl1x	Deaf1	5330429M20|Tbl1	AU042387|C230009B13Rik|NUDR	Co-fractionation	physical	Pourhaghighi R (2020)	PUBMED:32325033	10090	10090	High Throughput	0,709	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID	Q9QXE7	-	NP_065626	Q9Z1T5	Q3TYJ5|Q80V49	NP_001269001|NP_001269002|NP_001269005|NP_058570	-	-	-	-	-	-	Mus musculus	Mus musculus
2687190	77087	21372	218508	203977	-	RP23-238B14.2	Ankrd11	Tbl1x	2410104C19Rik|3010027A04Rik|6330578C09Rik|9530048I21Rik|AA930108|Gm176|Yod	5330429M20|Tbl1	Co-fractionation	physical	Pourhaghighi R (2020)	PUBMED:32325033	10090	10090	High Throughput	0,855	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID	-	E9Q4F7	NP_001074848	Q9QXE7	-	NP_065626	-	-	-	-	-	-	Mus musculus	Mus musculus
2687191	214855	21372	229569	203977	-	RP23-238B14.2	Arid5a	Tbl1x	D430024K22Rik|Mrf1	5330429M20|Tbl1	Co-fractionation	physical	Pourhaghighi R (2020)	PUBMED:32325033	10090	10090	High Throughput	0,705	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID	Q3U108	D3Z0W0	NP_001165677|NP_001165676|NP_001277655|NP_001277656|NP_666108	Q9QXE7	-	NP_065626	-	-	-	-	-	-	Mus musculus	Mus musculus
