#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
253649	9611	79718	114973	122834	-	-	NCOR1	TBL1XR1	N-CoR|N-CoR1|PPP1R109|TRAC1|hN-CoR	C21|DC42|IRA1|TBLR1	Affinity Capture-MS	physical	Yoon HG (2003)	PUBMED:14527417	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O75376	Q6PGR4|A0A024RD47	NP_001177367|NP_006302|NP_001177369	Q9BZK7	-	NP_078941|NP_001308124|NP_001308122|NP_001308123|NP_001361257|NP_001361256|NP_001361259|NP_001361258	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259916	9611	79718	114973	122834	-	-	NCOR1	TBL1XR1	N-CoR|N-CoR1|PPP1R109|TRAC1|hN-CoR	C21|DC42|IRA1|TBLR1	Affinity Capture-Western	physical	Yoon HG (2003)	PUBMED:12628926	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O75376	Q6PGR4|A0A024RD47	NP_001177367|NP_006302|NP_001177369	Q9BZK7	-	NP_078941|NP_001308124|NP_001308122|NP_001308123|NP_001361257|NP_001361256|NP_001361259|NP_001361258	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259926	79718	9611	122834	114973	-	-	TBL1XR1	NCOR1	C21|DC42|IRA1|TBLR1	N-CoR|N-CoR1|PPP1R109|TRAC1|hN-CoR	Reconstituted Complex	physical	Yoon HG (2003)	PUBMED:12628926	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9BZK7	-	NP_078941|NP_001308124|NP_001308122|NP_001308123|NP_001361257|NP_001361256|NP_001361259|NP_001361258	O75376	Q6PGR4|A0A024RD47	NP_001177367|NP_006302|NP_001177369	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259928	9611	79718	114973	122834	-	-	NCOR1	TBL1XR1	N-CoR|N-CoR1|PPP1R109|TRAC1|hN-CoR	C21|DC42|IRA1|TBLR1	Reconstituted Complex	physical	Yoon HG (2003)	PUBMED:12628926	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O75376	Q6PGR4|A0A024RD47	NP_001177367|NP_006302|NP_001177369	Q9BZK7	-	NP_078941|NP_001308124|NP_001308122|NP_001308123|NP_001361257|NP_001361256|NP_001361259|NP_001361258	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259931	79718	8370	122834	113966	-	-	TBL1XR1	HIST2H4A	C21|DC42|IRA1|TBLR1	FO108|H4|H4/n|H4F2|H4FN|HIST2H4	Reconstituted Complex	physical	Yoon HG (2003)	PUBMED:12628926	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9BZK7	-	NP_078941|NP_001308124|NP_001308122|NP_001308123|NP_001361257|NP_001361256|NP_001361259|NP_001361258	P62805	B2R4R0	NP_003539	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259932	79718	8349	122834	113945	-	-	TBL1XR1	HIST2H2BE	C21|DC42|IRA1|TBLR1	GL105|H2B|H2B.1|H2BFQ|H2BGL105|H2BQ	Reconstituted Complex	physical	Yoon HG (2003)	PUBMED:12628926	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9BZK7	-	NP_078941|NP_001308124|NP_001308122|NP_001308123|NP_001361257|NP_001361256|NP_001361259|NP_001361258	Q16778	-	NP_003519	-	-	-	-	-	-	Homo sapiens	Homo sapiens
260754	9611	79718	114973	122834	-	-	NCOR1	TBL1XR1	N-CoR|N-CoR1|PPP1R109|TRAC1|hN-CoR	C21|DC42|IRA1|TBLR1	Affinity Capture-MS	physical	Yoon HG (2003)	PUBMED:12628926	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O75376	Q6PGR4|A0A024RD47	NP_001177367|NP_006302|NP_001177369	Q9BZK7	-	NP_078941|NP_001308124|NP_001308122|NP_001308123|NP_001361257|NP_001361256|NP_001361259|NP_001361258	-	-	-	-	-	-	Homo sapiens	Homo sapiens
260898	9611	79718	114973	122834	-	-	NCOR1	TBL1XR1	N-CoR|N-CoR1|PPP1R109|TRAC1|hN-CoR	C21|DC42|IRA1|TBLR1	Affinity Capture-MS	physical	Zhang J (2002)	PUBMED:11931768	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O75376	Q6PGR4|A0A024RD47	NP_001177367|NP_006302|NP_001177369	Q9BZK7	-	NP_078941|NP_001308124|NP_001308122|NP_001308123|NP_001361257|NP_001361256|NP_001361259|NP_001361258	-	-	-	-	-	-	Homo sapiens	Homo sapiens
260902	8841	79718	114368	122834	-	-	HDAC3	TBL1XR1	HD3|RPD3|RPD3-2	C21|DC42|IRA1|TBLR1	Affinity Capture-MS	physical	Zhang J (2002)	PUBMED:11931768	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O15379	-	NP_003874	Q9BZK7	-	NP_078941|NP_001308124|NP_001308122|NP_001308123|NP_001361257|NP_001361256|NP_001361259|NP_001361258	-	-	-	-	-	-	Homo sapiens	Homo sapiens
329800	6907	79718	112770	122834	-	-	TBL1X	TBL1XR1	EBI|SMAP55|TBL1	C21|DC42|IRA1|TBLR1	Affinity Capture-Western	physical	Perissi V (2008)	PUBMED:18374649	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	Q9BZK7	-	NP_078941|NP_001308124|NP_001308122|NP_001308123|NP_001361257|NP_001361256|NP_001361259|NP_001361258	-	-	-	-	-	-	Homo sapiens	Homo sapiens
467867	6497	79718	112388	122834	-	-	SKI	TBL1XR1	SGS|SKV	C21|DC42|IRA1|TBLR1	Affinity Capture-Western	physical	Tabata T (2009)	PUBMED:19032343	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P12755	-	NP_003027	Q9BZK7	-	NP_078941|NP_001308124|NP_001308122|NP_001308123|NP_001361257|NP_001361256|NP_001361259|NP_001361258	-	-	-	-	-	-	Homo sapiens	Homo sapiens
