#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B	UniProt Accessions	Biogrid Database	FT	DNA binding	Repressor activity	WD40 Interaction	Mean LIS TBL1R	Mean cLIS TBL1R	Mean LIS TBL1	Mean cLIS TBL1	Mean LIS	Mean cLIS
259919	9611	6907	114973	112770	-	-	NCOR1	TBL1X	N-CoR|N-CoR1|PPP1R109|TRAC1|hN-CoR	EBI|SMAP55|TBL1	Affinity Capture-Western	physical	Yoon HG (2003)	PUBMED:12628926	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O75376	Q6PGR4|A0A024RD47	NP_001177367|NP_006302|NP_001177369	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
259920	6907	9611	112770	114973	-	-	TBL1X	NCOR1	EBI|SMAP55|TBL1	N-CoR|N-CoR1|PPP1R109|TRAC1|hN-CoR	Affinity Capture-Western	physical	Yoon HG (2003)	PUBMED:12628926	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	O75376	Q6PGR4|A0A024RD47	NP_001177367|NP_006302|NP_001177369	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
259921	6907	9612	112770	114974	-	-	TBL1X	NCOR2	EBI|SMAP55|TBL1	CTG26|N-CoR2|SMAP270|SMRT|SMRTE|SMRTE-tau|TNRC14|TRAC|TRAC-1|TRAC1	Affinity Capture-Western	physical	Yoon HG (2003)	PUBMED:12628926	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	Q9Y618	C9JFD3|C9J0Q5|C9JE98	NP_001070729|NP_006303|NP_001193583	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
259925	6907	9611	112770	114973	-	-	TBL1X	NCOR1	EBI|SMAP55|TBL1	N-CoR|N-CoR1|PPP1R109|TRAC1|hN-CoR	Reconstituted Complex	physical	Yoon HG (2003)	PUBMED:12628926	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	O75376	Q6PGR4|A0A024RD47	NP_001177367|NP_006302|NP_001177369	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
259927	9611	6907	114973	112770	-	-	NCOR1	TBL1X	N-CoR|N-CoR1|PPP1R109|TRAC1|hN-CoR	EBI|SMAP55|TBL1	Reconstituted Complex	physical	Yoon HG (2003)	PUBMED:12628926	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O75376	Q6PGR4|A0A024RD47	NP_001177367|NP_006302|NP_001177369	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
259929	6907	8349	112770	113945	-	-	TBL1X	HIST2H2BE	EBI|SMAP55|TBL1	GL105|H2B|H2B.1|H2BFQ|H2BGL105|H2BQ	Reconstituted Complex	physical	Yoon HG (2003)	PUBMED:12628926	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	Q16778	-	NP_003519	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
259930	6907	8370	112770	113966	-	-	TBL1X	HIST2H4A	EBI|SMAP55|TBL1	FO108|H4|H4/n|H4F2|H4FN|HIST2H4	Reconstituted Complex	physical	Yoon HG (2003)	PUBMED:12628926	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	P62805	B2R4R0	NP_003539	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
259933	6907	8337	112770	113933	-	-	TBL1X	HIST2H2AA3	EBI|SMAP55|TBL1	H2A|H2A.2|H2A/O|H2A/q|H2AFO|H2a-615|HIST2H2AA	Reconstituted Complex	physical	Yoon HG (2003)	PUBMED:12628926	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	Q6FI13	-	NP_003507	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
259934	6907	126961	112770	126025	-	-	TBL1X	HIST2H3C	EBI|SMAP55|TBL1	H3|H3.2|H3/M|H3F2|H3FM|H3FN	Reconstituted Complex	physical	Yoon HG (2003)	PUBMED:12628926	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	Q71DI3	-	NP_066403	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
260756	9611	6907	114973	112770	-	-	NCOR1	TBL1X	N-CoR|N-CoR1|PPP1R109|TRAC1|hN-CoR	EBI|SMAP55|TBL1	Affinity Capture-MS	physical	Yoon HG (2003)	PUBMED:12628926	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O75376	Q6PGR4|A0A024RD47	NP_001177367|NP_006302|NP_001177369	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
